103-2910 Ontario Street,Vancouver,"$369,000",1,1,1,0,1,682,,1976,Apartment/Condo,Freehold Strata,Vancouver East,V5T 2Y6,"[""Welcome home to this bright and beautiful ground floor unit. This spacious one bedroom with ceramic tiles, wood floors, gas fireplace in this corner unit with large private patio for your BBQ's and entertaining. It comes with 1 parking and 1 storage locker. Just 2 blocks away from Main street with restaurants, shopping and transportation. First Showing at the open house Saturday & Sunday, April 23rd & 24th from 2-4 pm.""]",1,,1171.27,318.34,96,1,"April 18, 2016 11:09 pm","[""http://maps.googleapis.com/maps/api/streetview?size=470x380&location=2910 Ontario Street  Vancouver, V5T 2Y6&sensor=false&fov=70&key=AIzaSyAFiN68UFakXeUjLPb7oAsw3OxToWJuuPE""]"
1503-2688 West Mall,Vancouver,"$908,800",2,2,2,0,1,990,,2005,Apartment/Condo,Leasehold prepaid-Strata,Vancouver West,V6T 2J8,"[""Unobstructed ocean & mountain views. Luxury, quality concrete building by Polygon, 2 bedroom + den and balcony home at UBC close to University of BC, University Hill Secondary School, Norma Rose Point Elementary school, public transit, Pacific Spirit Park and Botanical Gardens. New laminate flooring and wall paint renovated in Apr, 2016. Fireplace, open kitchen, Bosch appliances, granite countertops, 2 secured parking & 1 storage locker. Elegant 2-storey lobby, exercise room, concierge service. Must come and see! Open house: Apr 23 (Sat) & Apr 24 (Sun) 2 pm to 4 pm""]",0,,2130.05,385.08,60,2,"April 19, 2016 8:19 am","[""https://photos.lilypad.ca/1503-2688-west-mall-vancouver-R2058852-2.jpg?2016-04-19+08%3A11%3A00"", ""https://photos.lilypad.ca/1503-2688-west-mall-vancouver-R2058852-3.jpg?2016-04-19+08%3A11%3A00"", ""https://photos.lilypad.ca/1503-2688-west-mall-vancouver-R2058852-4.jpg?2016-04-19+08%3A11%3A00"", ""https://photos.lilypad.ca/1503-2688-west-mall-vancouver-R2058852-5.jpg?2016-04-19+08%3A11%3A00"", ""https://photos.lilypad.ca/1503-2688-west-mall-vancouver-R2058852-6.jpg?2016-04-19+08%3A11%3A00"", ""https://photos.lilypad.ca/1503-2688-west-mall-vancouver-R2058852-7.jpg?2016-04-19+08%3A11%3A00"", ""https://photos.lilypad.ca/1503-2688-west-mall-vancouver-R2058852-8.jpg?2016-04-19+08%3A11%3A00"", ""https://photos.lilypad.ca/1503-2688-west-mall-vancouver-R2058852-9.jpg?2016-04-19+08%3A11%3A00"", ""https://photos.lilypad.ca/1503-2688-west-mall-vancouver-R2058852-10.jpg?2016-04-19+08%3A11%3A00"", ""https://photos.lilypad.ca/1503-2688-west-mall-vancouver-R2058852-11.jpg?2016-04-19+08%3A11%3A00"", ""https://photos.lilypad.ca/1503-2688-west-mall-vancouver-R2058852-12.jpg?2016-04-19+08%3A11%3A00"", ""https://photos.lilypad.ca/1503-2688-west-mall-vancouver-R2058852-13.jpg?2016-04-19+08%3A11%3A00""]"
3207-688 Abbott Street,Vancouver,"$729,000",2,2,2,0,1,885,,2007,Apartment/Condo,Freehold Strata,Vancouver West,V6B 0B9,"[""2 bedroom comfortable apartment unit located in the heart of Vancouver. Beautiful view of downtown and Northshore. Minutes away to Tinseltown, public bus and skytrain, GM Place, park and school.""]",1,,2170.7,407.12,98,1,"April 19, 2016 4:55 pm","[""http://maps.googleapis.com/maps/api/streetview?size=470x380&location=688 Abbott Street  Vancouver, V6B 0B9&sensor=false&fov=70&key=AIzaSyAFiN68UFakXeUjLPb7oAsw3OxToWJuuPE""]"
1501-3588 Crowley Drive,Vancouver,"$379,000",1,1,1,0,1,594,,2003,Apartment/Condo,Freehold Strata,Vancouver East,V5R 6H3,"[""Rentals 100% allowed. Gorgeous unobstructed POSTCARD view of North shore mountains. Well kept spacious 1 BR condo, a balcony, walking distance (5 minutes) to Joyce/Collingwood station. A Gym, Social room/Club house & underground secured parking. Playground, Tennis/basketball courts & 3 parks nearby. Close to Metrotown, Crystal Mall, Metropolis, Central Park, Kingsway. Perfect for Rental property/Investor, First time buyers, retirement & students.""]",0,,1042.93,186.08,86,4,"April 19, 2016 10:08 pm","[""https://photos.lilypad.ca/1501-3588-crowley-drive-vancouver-R2058201-2.jpg?2016-04-15+23%3A56%3A00"", ""https://photos.lilypad.ca/1501-3588-crowley-drive-vancouver-R2058201-3.jpg?2016-04-15+23%3A56%3A00"", ""https://photos.lilypad.ca/1501-3588-crowley-drive-vancouver-R2058201-4.jpg?2016-04-15+23%3A56%3A00"", ""https://photos.lilypad.ca/1501-3588-crowley-drive-vancouver-R2058201-5.jpg?2016-04-15+23%3A56%3A00"", ""https://photos.lilypad.ca/1501-3588-crowley-drive-vancouver-R2058201-6.jpg?2016-04-15+23%3A56%3A00"", ""https://photos.lilypad.ca/1501-3588-crowley-drive-vancouver-R2058201-7.jpg?2016-04-15+23%3A56%3A00"", ""https://photos.lilypad.ca/1501-3588-crowley-drive-vancouver-R2058201-8.jpg?2016-04-15+23%3A56%3A00"", ""https://photos.lilypad.ca/1501-3588-crowley-drive-vancouver-R2058201-9.jpg?2016-04-15+23%3A56%3A00"", ""https://photos.lilypad.ca/1501-3588-crowley-drive-vancouver-R2058201-10.jpg?2016-04-15+23%3A56%3A00"", ""https://photos.lilypad.ca/1501-3588-crowley-drive-vancouver-R2058201-11.jpg?2016-04-15+23%3A56%3A00"", ""https://photos.lilypad.ca/1501-3588-crowley-drive-vancouver-R2058201-12.jpg?2016-04-15+23%3A56%3A00""]"
303-1367 Alberni Street,Vancouver,"$358,000",0,1,1,0,1,400,,1999,Apartment/Condo,Freehold Strata,Vancouver West,V6E 4R9,"[""The Lions is a prestigious Landmark complex consisting of two of the more architecturally interesting towers in Coal Harbour. Situated adjacent to Robson Street, Downtown and Coal Harbour, it is but a short walk to Stanley Park, shopping or theater going Downtown. With amazing amenities, bright southern exposure, efficient layout with ensuite storage and a locker room off the parkade. The suite itself is small, yes, but broad in features, with a quiet view over Albemi Street up to Robson, Down to Stanley Park, and up to downtown. Full Bath, Parking, Locker, In Suite Storage and full Kitchen, you have everything you need. Live or Rent, its up to you! Incredible value in today's market! (No Balcony). 3 Elevators, wheelchair access."", ""The Lions is a prestigious Landmark complex consisting of two of the more architecturally interesting towers in Coal Harbour. Situated adjacent to Robson Street, Downtown and Coal Harbour, it is but a short walk to Stanley Park, shopping or theater going Downtown. With amazing amenities, bright southern exposure, efficient layout with ensuite storage and a locker room off the parkade. The suite itself is small, yes, but broad in features, with a quiet view over Albemi Street up to Robson, Down to Stanley Park, and up to downtown. Full Bath, Parking, Locker, In Suite Storage and full Kitchen, you have everything you need. Live or Rent, its up to you! Incredible value in today's market! (No Balcony), 3 Elevators, wheelchair access.""]",0,,880.3,200.52,98,1,"April 18, 2016 10:54 pm","[""https://photos.lilypad.ca/303-1367-alberni-street-vancouver-R2058814-2.jpg?2016-04-18+22%3A29%3A00"", ""https://photos.lilypad.ca/303-1367-alberni-street-vancouver-R2058814-3.jpg?2016-04-18+22%3A29%3A00"", ""https://photos.lilypad.ca/303-1367-alberni-street-vancouver-R2058814-4.jpg?2016-04-18+22%3A29%3A00"", ""https://photos.lilypad.ca/303-1367-alberni-street-vancouver-R2058814-5.jpg?2016-04-18+22%3A29%3A00"", ""https://photos.lilypad.ca/303-1367-alberni-street-vancouver-R2058814-6.jpg?2016-04-18+22%3A29%3A00"", ""https://photos.lilypad.ca/303-1367-alberni-street-vancouver-R2058814-7.jpg?2016-04-18+22%3A29%3A00"", ""https://photos.lilypad.ca/303-1367-alberni-street-vancouver-R2058814-8.jpg?2016-04-18+22%3A29%3A00"", ""https://photos.lilypad.ca/303-1367-alberni-street-vancouver-R2058814-9.jpg?2016-04-18+22%3A29%3A00"", ""https://photos.lilypad.ca/303-1367-alberni-street-vancouver-R2058814-10.jpg?2016-04-18+22%3A29%3A00"", ""https://photos.lilypad.ca/303-1367-alberni-street-vancouver-R2058814-11.jpg?2016-04-18+22%3A29%3A00"", ""https://photos.lilypad.ca/303-1367-alberni-street-vancouver-R2058814-12.jpg?2016-04-18+22%3A29%3A00"", ""https://photos.lilypad.ca/303-1367-alberni-street-vancouver-R2058814-13.jpg?2016-04-18+22%3A29%3A00"", ""https://photos.lilypad.ca/303-1367-alberni-street-vancouver-R2058814-14.jpg?2016-04-18+22%3A29%3A00"", ""https://photos.lilypad.ca/303-1367-alberni-street-vancouver-R2058814-15.jpg?2016-04-18+22%3A29%3A00"", ""https://photos.lilypad.ca/303-1367-alberni-street-vancouver-R2058814-16.jpg?2016-04-18+22%3A29%3A00"", ""https://photos.lilypad.ca/303-1367-alberni-street-vancouver-R2058814-17.jpg?2016-04-18+22%3A29%3A00"", ""https://photos.lilypad.ca/303-1367-alberni-street-vancouver-R2058814-18.jpg?2016-04-18+22%3A29%3A00"", ""https://photos.lilypad.ca/303-1367-alberni-street-vancouver-R2058814-19.jpg?2016-04-18+22%3A29%3A00""]"
2106-1723 Alberni Street,Vancouver,"$679,000",1,1,1,0,1,684,,1997,Apartment/Condo,Freehold Strata,Vancouver West,V6G 3G9,"[""Welcome to the 21st floor of \u201CThe Park\u201D. Absolutely Prime Location with Iconic Vancouver views to English Bay, Stanley Park, Lost Lagoon, Coal Harbour and North Shore Mountains. This large 684 sq ft 1 bedroom plus sunroom, plus den is considered the best floorplan and position within this outstanding building. Walk straight out your door to access Stanley park, Coal Harbour, the West End, English Bay and all the amenities that make Vancouver great! This home has been tastefully updated and is move-in ready with engineered hardwood floors, stainless appliances, custom lighting, gas fireplace, floor to ceiling windows and modern decor. A private one car garage and adjoining storage locker is a great plus to make this a very executive home. This building is pet friendly and rentals are okay""]",1,,1848.99,341,96,4,"April 19, 2016 10:10 pm","[""https://photos.lilypad.ca/2106-1723-alberni-street-vancouver-R2058189-2.jpg?2016-04-17+16%3A26%3A00"", ""https://photos.lilypad.ca/2106-1723-alberni-street-vancouver-R2058189-3.jpg?2016-04-17+16%3A26%3A00"", ""https://photos.lilypad.ca/2106-1723-alberni-street-vancouver-R2058189-4.jpg?2016-04-17+16%3A26%3A00"", ""https://photos.lilypad.ca/2106-1723-alberni-street-vancouver-R2058189-5.jpg?2016-04-17+16%3A26%3A00"", ""https://photos.lilypad.ca/2106-1723-alberni-street-vancouver-R2058189-6.jpg?2016-04-17+16%3A26%3A00"", ""https://photos.lilypad.ca/2106-1723-alberni-street-vancouver-R2058189-7.jpg?2016-04-17+16%3A26%3A00"", ""https://photos.lilypad.ca/2106-1723-alberni-street-vancouver-R2058189-8.jpg?2016-04-17+16%3A26%3A00"", ""https://photos.lilypad.ca/2106-1723-alberni-street-vancouver-R2058189-9.jpg?2016-04-17+16%3A26%3A00"", ""https://photos.lilypad.ca/2106-1723-alberni-street-vancouver-R2058189-10.jpg?2016-04-17+16%3A26%3A00"", ""https://photos.lilypad.ca/2106-1723-alberni-street-vancouver-R2058189-11.jpg?2016-04-17+16%3A26%3A00"", ""https://photos.lilypad.ca/2106-1723-alberni-street-vancouver-R2058189-12.jpg?2016-04-17+16%3A26%3A00"", ""https://photos.lilypad.ca/2106-1723-alberni-street-vancouver-R2058189-13.jpg?2016-04-17+16%3A26%3A00"", ""https://photos.lilypad.ca/2106-1723-alberni-street-vancouver-R2058189-14.jpg?2016-04-17+16%3A26%3A00"", ""https://photos.lilypad.ca/2106-1723-alberni-street-vancouver-R2058189-15.jpg?2016-04-17+16%3A26%3A00"", ""https://photos.lilypad.ca/2106-1723-alberni-street-vancouver-R2058189-16.jpg?2016-04-17+16%3A26%3A00"", ""https://photos.lilypad.ca/2106-1723-alberni-street-vancouver-R2058189-17.jpg?2016-04-17+16%3A26%3A00"", ""https://photos.lilypad.ca/2106-1723-alberni-street-vancouver-R2058189-18.jpg?2016-04-17+16%3A26%3A00"", ""https://photos.lilypad.ca/2106-1723-alberni-street-vancouver-R2058189-19.jpg?2016-04-17+16%3A26%3A00"", ""https://photos.lilypad.ca/2106-1723-alberni-street-vancouver-R2058189-20.jpg?2016-04-17+16%3A26%3A00""]"
405-5989 Iona Drive,Vancouver,"$590,000",1,1,1,0,1,696,,2007,Apartment/Condo,Freehold Strata,Vancouver West,V6T 2L7,"[""Well built concrete building by Intracorp at spectacular Chancellor Place in UBC across from multi-million estates. A rarely available NE facing unit with breathtaking views of mountain and ocean. Newly painted and carpeted. This 1 bedroom unit offers a well designed, spacious floor plan. Gourmet kitchen w/granite countertops and S/S appliances. Gas fireplace. 1 parking, 1 storage locker, large laundry room. In U-Hill school catchment, BC's top school,. A walk away from Chan Centre and UBC amenities. Great condition. Shows well. Move in ready!""]",1,,1231.63,221.37,61,1,"April 19, 2016 12:47 am","[""http://maps.googleapis.com/maps/api/streetview?size=470x380&location=5989 Iona Drive  Vancouver, V6T 2L7&sensor=false&fov=70&key=AIzaSyAFiN68UFakXeUjLPb7oAsw3OxToWJuuPE""]"
302-5025 Joyce Street,Vancouver,"$449,000",2,2,2,0,1,761,,2006,Apartment/Condo,Freehold Strata,Vancouver East,V5R 4G7,"[""Collingwood/Joyce area. Bright spacious (2 bed + 2 baths) + den/solarium, Penthouse. Open concept, high ceiling with skylights. Granite countertops, fireplace, quality finishing, laminate hardwood floor. Steps to Joyce skytrain and quiet. Underground parking. Pets & rentals allowed. Open April 30th & May 1st, 2-4pm.""]",1,,1071.2,330,80,8,"April 14, 2016 8:00 pm","[""http://maps.googleapis.com/maps/api/streetview?size=470x380&location=5025 Joyce Street  Vancouver, V5R 4G7&sensor=false&fov=70&key=AIzaSyAFiN68UFakXeUjLPb7oAsw3OxToWJuuPE""]"
102-3680 Oak Street,Vancouver,"$359,000",1,1,1,0,1,670,,1972,Apartment/Condo,Freehold Strata,Vancouver West,V6H 2M2,"[""Look no further . . . Welcome to Glen Oaks: Boutique 8 unit building at Douglas Park on wonderfully situated at Oak & 21st. Come visit this updated large 670 SF 1 bedroom home with own entrance (Like a townhouse) and outdoor patio. This community building is better than new with a proud proactive ownership with all the major updates: Depreciation report 2013, Plumbing 2011, roof 2006, balcony membrane & painting 2014, new windows throughout 2016, NO Smoking building. Maintenance fees include heat, hot water & laundry too! 1 dog or 2 cats 1 rental allowed. 1 parking & 1 secured storage. Option to install W/D, steps to VGH, groceries, restaurants and parks. Book your private viewing today. OH Sat/Sun, April 23/24, 2-4pm. 1st showing Wed Apr.20 12-1pm"", ""Look no further . . . Welcome to Glen Oaks: Boutique 8 unit building at Douglas Park on wonderfully situated at Oak & 21st. Come visit this updated large 670 SF 1 bedroom home with own entrance (Like a townhouse) and outdoor patio. This community building is better than new with a proud proactive ownership with all the major updates: Depreciation report 2013, Plumbing 2011, roof 2006, balcony membrane & painting 2014, new windows throughout 2016, NO Smoking building. Maintenance fees include heat, hot water & laundry too! 1 dog or 2 cats 1 rental allowed. 1 parking & 1 secured storage. Option to install W/D, steps to VGH, groceries, restaurants and parks. Book your private viewing today. OH Sat/Sun, April 23/24, 2-4pm. 1st showing Wed Apr.20 12-1pm""]",0,,951.72,274.8,88,1,"April 19, 2016 10:54 pm","[""https://photos.lilypad.ca/102-3680-oak-street-vancouver-R2058526-2.jpg?2016-04-19+04%3A43%3A00"", ""https://photos.lilypad.ca/102-3680-oak-street-vancouver-R2058526-3.jpg?2016-04-19+04%3A43%3A00"", ""https://photos.lilypad.ca/102-3680-oak-street-vancouver-R2058526-4.jpg?2016-04-19+04%3A43%3A00"", ""https://photos.lilypad.ca/102-3680-oak-street-vancouver-R2058526-5.jpg?2016-04-19+04%3A43%3A00"", ""https://photos.lilypad.ca/102-3680-oak-street-vancouver-R2058526-6.jpg?2016-04-19+04%3A43%3A00"", ""https://photos.lilypad.ca/102-3680-oak-street-vancouver-R2058526-7.jpg?2016-04-19+04%3A43%3A00"", ""https://photos.lilypad.ca/102-3680-oak-street-vancouver-R2058526-8.jpg?2016-04-19+04%3A43%3A00"", ""https://photos.lilypad.ca/102-3680-oak-street-vancouver-R2058526-9.jpg?2016-04-19+04%3A43%3A00"", ""https://photos.lilypad.ca/102-3680-oak-street-vancouver-R2058526-10.jpg?2016-04-19+04%3A43%3A00"", ""https://photos.lilypad.ca/102-3680-oak-street-vancouver-R2058526-11.jpg?2016-04-19+04%3A43%3A00"", ""https://photos.lilypad.ca/102-3680-oak-street-vancouver-R2058526-12.jpg?2016-04-19+04%3A43%3A00"", ""https://photos.lilypad.ca/102-3680-oak-street-vancouver-R2058526-13.jpg?2016-04-19+04%3A43%3A00"", ""https://photos.lilypad.ca/102-3680-oak-street-vancouver-R2058526-14.jpg?2016-04-19+04%3A43%3A00"", ""https://photos.lilypad.ca/102-3680-oak-street-vancouver-R2058526-15.jpg?2016-04-19+04%3A43%3A00"", ""https://photos.lilypad.ca/102-3680-oak-street-vancouver-R2058526-16.jpg?2016-04-19+04%3A43%3A00"", ""https://photos.lilypad.ca/102-3680-oak-street-vancouver-R2058526-17.jpg?2016-04-19+04%3A43%3A00"", ""https://photos.lilypad.ca/102-3680-oak-street-vancouver-R2058526-18.jpg?2016-04-19+04%3A43%3A00"", ""https://photos.lilypad.ca/102-3680-oak-street-vancouver-R2058526-19.jpg?2016-04-19+04%3A43%3A00"", ""https://photos.lilypad.ca/102-3680-oak-street-vancouver-R2058526-20.jpg?2016-04-19+04%3A43%3A00""]"
900-1919 Beach Avenue,Vancouver,"$5,200,000",3,3,2,1,1,2679,,1991,Apartment/Condo,Freehold Strata,Vancouver West,V6G 1Z2,"[""Spectacular Ocean, Beach and Sunset views with sunny southern exposure are to be enjoyed from this exceptional waterfront home. Luxury living at its best with only one unit on a floor in the exclusive Eugenia Place. The private elevator lobby opens to 2,679 Sq.Ft of luxurious living with 3 Bedrooms, 3 Baths, Den with custom mahogany cabinets, entertainment-size living and dining rooms, Solarium with wet bar & large laundry room, 3 decks, 3 parkings, storage. Hot yoga sauna room, exercise room and a grand foyer, live-in caretaker. Bring your decorating idea for this one of a kind unit just outside Stanley Park and English Bay Beach. The Best location for watching the fireworks from your room and balcony.""]",1,,11751.5,2050,93,1,"April 18, 2016 8:28 pm","[""https://photos.lilypad.ca/900-1919-beach-avenue-vancouver-R2058566-2.jpg?2016-04-18+18%3A12%3A00"", ""https://photos.lilypad.ca/900-1919-beach-avenue-vancouver-R2058566-3.jpg?2016-04-18+18%3A12%3A00"", ""https://photos.lilypad.ca/900-1919-beach-avenue-vancouver-R2058566-4.jpg?2016-04-18+18%3A12%3A00"", ""https://photos.lilypad.ca/900-1919-beach-avenue-vancouver-R2058566-5.jpg?2016-04-18+18%3A12%3A00"", ""https://photos.lilypad.ca/900-1919-beach-avenue-vancouver-R2058566-6.jpg?2016-04-18+18%3A12%3A00"", ""https://photos.lilypad.ca/900-1919-beach-avenue-vancouver-R2058566-7.jpg?2016-04-18+18%3A12%3A00"", ""https://photos.lilypad.ca/900-1919-beach-avenue-vancouver-R2058566-8.jpg?2016-04-18+18%3A12%3A00"", ""https://photos.lilypad.ca/900-1919-beach-avenue-vancouver-R2058566-9.jpg?2016-04-18+18%3A12%3A00"", ""https://photos.lilypad.ca/900-1919-beach-avenue-vancouver-R2058566-10.jpg?2016-04-18+18%3A12%3A00"", ""https://photos.lilypad.ca/900-1919-beach-avenue-vancouver-R2058566-11.jpg?2016-04-18+18%3A12%3A00"", ""https://photos.lilypad.ca/900-1919-beach-avenue-vancouver-R2058566-12.jpg?2016-04-18+18%3A12%3A00"", ""https://photos.lilypad.ca/900-1919-beach-avenue-vancouver-R2058566-13.jpg?2016-04-18+18%3A12%3A00"", ""https://photos.lilypad.ca/900-1919-beach-avenue-vancouver-R2058566-14.jpg?2016-04-18+18%3A12%3A00"", ""https://photos.lilypad.ca/900-1919-beach-avenue-vancouver-R2058566-15.jpg?2016-04-18+18%3A12%3A00"", ""https://photos.lilypad.ca/900-1919-beach-avenue-vancouver-R2058566-16.jpg?2016-04-18+18%3A12%3A00"", ""https://photos.lilypad.ca/900-1919-beach-avenue-vancouver-R2058566-17.jpg?2016-04-18+18%3A12%3A00"", ""https://photos.lilypad.ca/900-1919-beach-avenue-vancouver-R2058566-18.jpg?2016-04-18+18%3A12%3A00"", ""https://photos.lilypad.ca/900-1919-beach-avenue-vancouver-R2058566-19.jpg?2016-04-18+18%3A12%3A00"", ""https://photos.lilypad.ca/900-1919-beach-avenue-vancouver-R2058566-20.jpg?2016-04-18+18%3A12%3A00""]"
