address,city,price,numOfBed,numOfBath,fulBathrooms,halfBathrooms,levels,sqft,lotSize,yearBuilt,homeType,typeOwnership,extraFeaturesDescription,neighbourhood,propertySummary,fireplaces,basementArea,taxes,strataFees,amenities,walkscore,daysListed,lastUpdated,images
2624 3rd Avenue W,Vancouver,"$2,319,760",3,3,3,0,3,2760,333.24,1910,House/Single Family,,,  Kitsilano,,1,Full,"5,763",,,95,,,"[""https://www.xstatic.ca/home_photos/77/3445577/1.jpg?2016-04-18+17%3A18%3A00"", ""//maps.googleapis.com/maps/api/streetview?size=640x480&location=2624%203rd%20Avenue%20W%20Vancouver%20BC&fov=70&heading=0&pitch=10&key=AIzaSyAj59gMnWGKRVf0zlM9cJaS3UOlrdPO9D0"", ""//maps.googleapis.com/maps/api/streetview?size=640x480&location=2624%203rd%20Avenue%20W%20Vancouver%20BC&fov=70&heading=120&pitch=10&key=AIzaSyAj59gMnWGKRVf0zlM9cJaS3UOlrdPO9D0"", ""//maps.googleapis.com/maps/api/streetview?size=640x480&location=2624%203rd%20Avenue%20W%20Vancouver%20BC&fov=70&heading=240&pitch=10&key=AIzaSyAj59gMnWGKRVf0zlM9cJaS3UOlrdPO9D0"", """"]"
1437 32nd Avenue W,Vancouver,"$8,712,000",5,4,3,1,2,4491,0.4,1946,House/Single Family,,,  Shaughnessy,,2,Full,"19,874",,,43,,,"[""https://www.xstatic.ca/home_photos/54/3445554/1.jpg?2016-04-15+22%3A14%3A00"", ""//maps.googleapis.com/maps/api/streetview?size=640x480&location=1437%2032nd%20Avenue%20W%20Vancouver%20BC&fov=70&heading=0&pitch=10&key=AIzaSyAj59gMnWGKRVf0zlM9cJaS3UOlrdPO9D0"", ""//maps.googleapis.com/maps/api/streetview?size=640x480&location=1437%2032nd%20Avenue%20W%20Vancouver%20BC&fov=70&heading=120&pitch=10&key=AIzaSyAj59gMnWGKRVf0zlM9cJaS3UOlrdPO9D0"", ""//maps.googleapis.com/maps/api/streetview?size=640x480&location=1437%2032nd%20Avenue%20W%20Vancouver%20BC&fov=70&heading=240&pitch=10&key=AIzaSyAj59gMnWGKRVf0zlM9cJaS3UOlrdPO9D0"", """"]"
2715 47th Avenue E,Vancouver,"$1,781,010",4,2,2,0,2,2620,453.37,1961,House/Single Family,,,  Killarney Ve,,2,Full,"4,813",,,63,,,"[""https://photos.zolo.ca/2715-e-47th-avenue-vancouver-R2058145-2.jpg?2016-04-15+21%3A55%3A00"", ""https://photos.zolo.ca/2715-e-47th-avenue-vancouver-R2058145-3.jpg?2016-04-15+21%3A55%3A00"", ""https://photos.zolo.ca/2715-e-47th-avenue-vancouver-R2058145-4.jpg?2016-04-15+21%3A55%3A00"", ""https://photos.zolo.ca/2715-e-47th-avenue-vancouver-R2058145-5.jpg?2016-04-15+21%3A55%3A00"", ""https://photos.zolo.ca/2715-e-47th-avenue-vancouver-R2058145-6.jpg?2016-04-15+21%3A55%3A00"", ""https://photos.zolo.ca/2715-e-47th-avenue-vancouver-R2058145-7.jpg?2016-04-15+21%3A55%3A00"", ""https://photos.zolo.ca/2715-e-47th-avenue-vancouver-R2058145-8.jpg?2016-04-15+21%3A55%3A00"", ""https://photos.zolo.ca/2715-e-47th-avenue-vancouver-R2058145-9.jpg?2016-04-15+21%3A55%3A00"", ""https://photos.zolo.ca/2715-e-47th-avenue-vancouver-R2058145-10.jpg?2016-04-15+21%3A55%3A00"", ""https://photos.zolo.ca/2715-e-47th-avenue-vancouver-R2058145-11.jpg?2016-04-15+21%3A55%3A00"", ""https://photos.zolo.ca/2715-e-47th-avenue-vancouver-R2058145-12.jpg?2016-04-15+21%3A55%3A00"", ""https://photos.zolo.ca/2715-e-47th-avenue-vancouver-R2058145-13.jpg?2016-04-15+21%3A55%3A00"", ""https://photos.zolo.ca/2715-e-47th-avenue-vancouver-R2058145-14.jpg?2016-04-15+21%3A55%3A00"", ""https://photos.zolo.ca/2715-e-47th-avenue-vancouver-R2058145-15.jpg?2016-04-15+21%3A55%3A00"", ""https://photos.zolo.ca/2715-e-47th-avenue-vancouver-R2058145-16.jpg?2016-04-15+21%3A55%3A00"", ""https://photos.zolo.ca/2715-e-47th-avenue-vancouver-R2058145-17.jpg?2016-04-15+21%3A55%3A00"", ""https://photos.zolo.ca/2715-e-47th-avenue-vancouver-R2058145-18.jpg?2016-04-15+21%3A55%3A00"", ""https://photos.zolo.ca/2715-e-47th-avenue-vancouver-R2058145-19.jpg?2016-04-15+21%3A55%3A00""]"
6143 Victoria Drive,Vancouver,"$1,484,010",5,3,2,1,2,2346,338.77,1964,Other,,,  Killarney Ve,,2,"Full, Fully Finished","3,899",,,85,,,"[""https://photos.zolo.ca/6143-victoria-drive-vancouver-R2058134-2.jpg?2016-04-15+21%3A48%3A00"", ""https://photos.zolo.ca/6143-victoria-drive-vancouver-R2058134-3.jpg?2016-04-15+21%3A48%3A00"", ""https://photos.zolo.ca/6143-victoria-drive-vancouver-R2058134-4.jpg?2016-04-15+21%3A48%3A00"", ""https://photos.zolo.ca/6143-victoria-drive-vancouver-R2058134-5.jpg?2016-04-15+21%3A48%3A00"", ""https://photos.zolo.ca/6143-victoria-drive-vancouver-R2058134-6.jpg?2016-04-15+21%3A48%3A00"", ""https://photos.zolo.ca/6143-victoria-drive-vancouver-R2058134-7.jpg?2016-04-15+21%3A48%3A00"", ""https://photos.zolo.ca/6143-victoria-drive-vancouver-R2058134-8.jpg?2016-04-15+21%3A48%3A00"", ""https://photos.zolo.ca/6143-victoria-drive-vancouver-R2058134-9.jpg?2016-04-15+21%3A48%3A00"", ""https://photos.zolo.ca/6143-victoria-drive-vancouver-R2058134-10.jpg?2016-04-15+21%3A48%3A00"", ""https://photos.zolo.ca/6143-victoria-drive-vancouver-R2058134-11.jpg?2016-04-15+21%3A48%3A00"", ""https://photos.zolo.ca/6143-victoria-drive-vancouver-R2058134-12.jpg?2016-04-15+21%3A48%3A00"", ""https://photos.zolo.ca/6143-victoria-drive-vancouver-R2058134-13.jpg?2016-04-15+21%3A48%3A00"", ""https://photos.zolo.ca/6143-victoria-drive-vancouver-R2058134-14.jpg?2016-04-15+21%3A48%3A00"", ""https://photos.zolo.ca/6143-victoria-drive-vancouver-R2058134-15.jpg?2016-04-15+21%3A48%3A00"", ""https://photos.zolo.ca/6143-victoria-drive-vancouver-R2058134-16.jpg?2016-04-15+21%3A48%3A00"", ""https://photos.zolo.ca/6143-victoria-drive-vancouver-R2058134-17.jpg?2016-04-15+21%3A48%3A00"", ""https://photos.zolo.ca/6143-victoria-drive-vancouver-R2058134-18.jpg?2016-04-15+21%3A48%3A00"", ""https://photos.zolo.ca/6143-victoria-drive-vancouver-R2058134-19.jpg?2016-04-15+21%3A48%3A00"", ""https://photos.zolo.ca/6143-victoria-drive-vancouver-R2058134-20.jpg?2016-04-15+21%3A48%3A00""]"
3617 12th Avenue W,Vancouver,"$2,782,000",6,2,2,0,3,1900,404.69,1930,House/Single Family,,,  Kitsilano,,1,"Full, Unfinished","6,935",,,86,,,"[""https://photos.zolo.ca/3617-w-12th-avenue-vancouver-R2058124-2.jpg?2016-04-15+22%3A17%3A00"", ""https://photos.zolo.ca/3617-w-12th-avenue-vancouver-R2058124-3.jpg?2016-04-15+22%3A17%3A00"", ""https://photos.zolo.ca/3617-w-12th-avenue-vancouver-R2058124-4.jpg?2016-04-15+22%3A17%3A00"", ""https://photos.zolo.ca/3617-w-12th-avenue-vancouver-R2058124-5.jpg?2016-04-15+22%3A17%3A00""]"
2595 1st Avenue W,Vancouver,"$1,869,120",2,2,1,1,2,1759,5900,1990,1/2 Duplex,,,  Kitsilano,,,,"5,801",,,92,,,"[""https://photos.zolo.ca/2595-w-1st-avenue-vancouver-R2058108-2.jpg?2016-04-15+20%3A40%3A00"", ""https://photos.zolo.ca/2595-w-1st-avenue-vancouver-R2058108-3.jpg?2016-04-15+20%3A40%3A00"", ""https://photos.zolo.ca/2595-w-1st-avenue-vancouver-R2058108-4.jpg?2016-04-15+20%3A40%3A00"", ""https://photos.zolo.ca/2595-w-1st-avenue-vancouver-R2058108-5.jpg?2016-04-15+20%3A40%3A00"", ""https://photos.zolo.ca/2595-w-1st-avenue-vancouver-R2058108-6.jpg?2016-04-15+20%3A40%3A00""]"
1522 20th Avenue E,Vancouver,"$1,485,000",3,1,1,0,2,1607,5540,1930,House/Single Family,,,  Knight,,1,"Full, Partly Finished, Separate Entry","4,814",,,87,,,"[""https://photos.zolo.ca/1522-e-20th-avenue-vancouver-R2058102-2.jpg?2016-04-15+20%3A50%3A00"", ""https://photos.zolo.ca/1522-e-20th-avenue-vancouver-R2058102-3.jpg?2016-04-15+20%3A50%3A00""]"
1845 11th Avenue W,Vancouver,"$1,057,160",2,1,0,1,2,1322,0,1986,Townhouse,,,  Kitsilano,,1,Partial Mountain/City,"2,807",,,97,,,"[""https://photos.zolo.ca/1845-w-11th-avenue-vancouver-R2058068-2.jpg?2016-04-15+19%3A52%3A00"", ""https://photos.zolo.ca/1845-w-11th-avenue-vancouver-R2058068-3.jpg?2016-04-15+19%3A52%3A00"", ""https://photos.zolo.ca/1845-w-11th-avenue-vancouver-R2058068-4.jpg?2016-04-15+19%3A52%3A00"", ""https://photos.zolo.ca/1845-w-11th-avenue-vancouver-R2058068-5.jpg?2016-04-15+19%3A52%3A00"", ""https://photos.zolo.ca/1845-w-11th-avenue-vancouver-R2058068-6.jpg?2016-04-15+19%3A52%3A00"", ""https://photos.zolo.ca/1845-w-11th-avenue-vancouver-R2058068-7.jpg?2016-04-15+19%3A52%3A00"", ""https://photos.zolo.ca/1845-w-11th-avenue-vancouver-R2058068-8.jpg?2016-04-15+19%3A52%3A00"", ""https://photos.zolo.ca/1845-w-11th-avenue-vancouver-R2058068-9.jpg?2016-04-15+19%3A52%3A00"", ""https://photos.zolo.ca/1845-w-11th-avenue-vancouver-R2058068-10.jpg?2016-04-15+19%3A52%3A00"", ""https://photos.zolo.ca/1845-w-11th-avenue-vancouver-R2058068-11.jpg?2016-04-15+19%3A52%3A00"", ""https://photos.zolo.ca/1845-w-11th-avenue-vancouver-R2058068-12.jpg?2016-04-15+19%3A52%3A00""]"
1566 65th Avenue W,Vancouver,"$3,413,289",5,4,4,0,3,2692,357.31,1926,House/Single Family,,,  S.w. Marine,,1,"Full, Fully Finished, Separate Entry","5,499",,,87,,,"[""https://photos.zolo.ca/1566-w-65th-avenue-vancouver-R2058077-2.jpg?2016-04-15+21%3A24%3A00"", ""https://photos.zolo.ca/1566-w-65th-avenue-vancouver-R2058077-3.jpg?2016-04-15+21%3A24%3A00"", ""https://photos.zolo.ca/1566-w-65th-avenue-vancouver-R2058077-4.jpg?2016-04-15+21%3A24%3A00"", ""https://photos.zolo.ca/1566-w-65th-avenue-vancouver-R2058077-5.jpg?2016-04-15+21%3A24%3A00"", ""https://photos.zolo.ca/1566-w-65th-avenue-vancouver-R2058077-6.jpg?2016-04-15+21%3A24%3A00"", ""https://photos.zolo.ca/1566-w-65th-avenue-vancouver-R2058077-7.jpg?2016-04-15+21%3A24%3A00"", ""https://photos.zolo.ca/1566-w-65th-avenue-vancouver-R2058077-8.jpg?2016-04-15+21%3A24%3A00"", ""https://photos.zolo.ca/1566-w-65th-avenue-vancouver-R2058077-9.jpg?2016-04-15+21%3A24%3A00"", ""https://photos.zolo.ca/1566-w-65th-avenue-vancouver-R2058077-10.jpg?2016-04-15+21%3A24%3A00"", ""https://photos.zolo.ca/1566-w-65th-avenue-vancouver-R2058077-11.jpg?2016-04-15+21%3A24%3A00"", ""https://photos.zolo.ca/1566-w-65th-avenue-vancouver-R2058077-12.jpg?2016-04-15+21%3A24%3A00"", ""https://photos.zolo.ca/1566-w-65th-avenue-vancouver-R2058077-13.jpg?2016-04-15+21%3A24%3A00"", ""https://photos.zolo.ca/1566-w-65th-avenue-vancouver-R2058077-14.jpg?2016-04-15+21%3A24%3A00"", ""https://photos.zolo.ca/1566-w-65th-avenue-vancouver-R2058077-15.jpg?2016-04-15+21%3A24%3A00"", ""https://photos.zolo.ca/1566-w-65th-avenue-vancouver-R2058077-16.jpg?2016-04-15+21%3A24%3A00"", ""https://photos.zolo.ca/1566-w-65th-avenue-vancouver-R2058077-17.jpg?2016-04-15+21%3A24%3A00"", ""https://photos.zolo.ca/1566-w-65th-avenue-vancouver-R2058077-18.jpg?2016-04-15+21%3A24%3A00"", ""https://photos.zolo.ca/1566-w-65th-avenue-vancouver-R2058077-19.jpg?2016-04-15+21%3A24%3A00""]"
3517 3rd Avenue W,Vancouver,"$3,355,110",6,3,3,0,3,3318,374.03,9999,House/Single Family,,,  Kitsilano,,0,Full,"6,841",,,92,,,"[""https://photos.zolo.ca/3517-w-3rd-avenue-vancouver-R2058028-2.jpg?2016-04-18+16%3A19%3A00"", ""https://photos.zolo.ca/3517-w-3rd-avenue-vancouver-R2058028-3.jpg?2016-04-18+16%3A19%3A00"", ""https://photos.zolo.ca/3517-w-3rd-avenue-vancouver-R2058028-4.jpg?2016-04-18+16%3A19%3A00"", ""https://photos.zolo.ca/3517-w-3rd-avenue-vancouver-R2058028-5.jpg?2016-04-18+16%3A19%3A00"", ""https://photos.zolo.ca/3517-w-3rd-avenue-vancouver-R2058028-6.jpg?2016-04-18+16%3A19%3A00"", ""https://photos.zolo.ca/3517-w-3rd-avenue-vancouver-R2058028-7.jpg?2016-04-18+16%3A19%3A00"", ""https://photos.zolo.ca/3517-w-3rd-avenue-vancouver-R2058028-8.jpg?2016-04-18+16%3A19%3A00"", ""https://photos.zolo.ca/3517-w-3rd-avenue-vancouver-R2058028-9.jpg?2016-04-18+16%3A19%3A00"", ""https://photos.zolo.ca/3517-w-3rd-avenue-vancouver-R2058028-10.jpg?2016-04-18+16%3A19%3A00""]"
2213 Renfrew Street,Vancouver,"$1,463,760",5,3,3,0,2,2368,374.03,1960,House/Single Family,,,  Renfrew Ve,,1,Fully Finished,"3,697",,,75,,,"[""https://photos.zolo.ca/2213-renfrew-street-vancouver-R2057941-2.jpg?2016-04-15+17%3A23%3A00"", ""https://photos.zolo.ca/2213-renfrew-street-vancouver-R2057941-3.jpg?2016-04-15+17%3A23%3A00"", ""https://photos.zolo.ca/2213-renfrew-street-vancouver-R2057941-4.jpg?2016-04-15+17%3A23%3A00"", ""https://photos.zolo.ca/2213-renfrew-street-vancouver-R2057941-5.jpg?2016-04-15+17%3A23%3A00"", ""https://photos.zolo.ca/2213-renfrew-street-vancouver-R2057941-6.jpg?2016-04-15+17%3A23%3A00"", ""https://photos.zolo.ca/2213-renfrew-street-vancouver-R2057941-7.jpg?2016-04-15+17%3A23%3A00"", ""https://photos.zolo.ca/2213-renfrew-street-vancouver-R2057941-8.jpg?2016-04-15+17%3A23%3A00"", ""https://photos.zolo.ca/2213-renfrew-street-vancouver-R2057941-9.jpg?2016-04-15+17%3A23%3A00"", ""https://photos.zolo.ca/2213-renfrew-street-vancouver-R2057941-10.jpg?2016-04-15+17%3A23%3A00"", ""https://photos.zolo.ca/2213-renfrew-street-vancouver-R2057941-11.jpg?2016-04-15+17%3A23%3A00"", ""https://photos.zolo.ca/2213-renfrew-street-vancouver-R2057941-12.jpg?2016-04-15+17%3A23%3A00"", ""https://photos.zolo.ca/2213-renfrew-street-vancouver-R2057941-13.jpg?2016-04-15+17%3A23%3A00"", ""https://photos.zolo.ca/2213-renfrew-street-vancouver-R2057941-14.jpg?2016-04-15+17%3A23%3A00"", ""https://photos.zolo.ca/2213-renfrew-street-vancouver-R2057941-15.jpg?2016-04-15+17%3A23%3A00"", ""https://photos.zolo.ca/2213-renfrew-street-vancouver-R2057941-16.jpg?2016-04-15+17%3A23%3A00"", ""https://photos.zolo.ca/2213-renfrew-street-vancouver-R2057941-17.jpg?2016-04-15+17%3A23%3A00"", ""https://photos.zolo.ca/2213-renfrew-street-vancouver-R2057941-18.jpg?2016-04-15+17%3A23%3A00""]"
